State,numsubs
"BOZEMAN, MT",2
BR,11
BRASIL,1
BRAZIL,6
BREWSTER,1
BROXBOURNE,1
BS309AD,1
BT9 6FQ,1
BU,1
BUCKINGHAMSHIRE,6
"BUCKINGHAMSHIRE, ENGLAND",2
BUCKS,3
BUENOS AIRES,1
BUKIT BATOK,1
BURBANK,1
BURKE,1
BURY ST EDMUNDS,1
BUTTE,1
BV,1
BW,6
BY,13
BY ,1
C,148
C ,1
C A,2
C(,1
C),5
"C,A",1
C.,1
C.A,1
C.T,1
C0,7
C0A 1H4,1
C?,1
CA,367463
CA-,1
CA-ON,1
CA1,2
CA;,1
CA>,2
CABA,1
CACA,1
"CADIZ, SPAIN",1
CAG,1
CAIRO,1
CAKENSINGTONAVEKC,1
CAMBS,9
CAMBS UK,1
"CAMBS, UK",1
CANADA,853
CANBERRA,3
CANON CITY,1
CANTERBURY,4
CAQ,1
CARA,1
CARDIFF,1
CARLOW,1
"CARLOW, IRELAND",1
CARLSBAD,1
CARMARTHENSHIRE,3
CAROLINA,1
CAS,2
CASEY,1
CASTLE,1
CAYMAN ISLANDS,1
CAYMAN ISLANDS ,1
CA_ON,42
CA`,18
CA|ON,1
CC,8
CCA,1
CD,1
CEREDIGION,1
CH,86
CHARLES TOWN,1
CHECKING,1
CHESHIRE,27
CHIANG MAI,1
CHIAPAS,1
CHICAGO,6
"CHICAGO, IL",2
CHIHUAHUA,1
CHILE,6
CHINA,23
CHOOSE A STATE,2
CHOOSE A STATE...,6
CHOOSE ONE,4
CHOOSE STATE,4
CHOOSE YOUR STATE,5
CHOOSE...,6
CITY OF DUNDEE,1
CITY OF EDINBURGH,1
CITY OF LONDON,1
CL,2
CLACKMANNANSHIRE,2
CLAIF.,1
CLAPHAM,1
CLARE,1
CLEVELAND,7
"CLEVELAND,U>K>",1
CLIFDEN,1
CLONAKITY,1
CM,1
CN,15
CO,28811
CO1,1
CODUBLIN,1
COL,2
COLRADO,1
COLUMBIA,1
COMBS,1
COOK,3
COUNTY DOWN,3
COUNTY DUBLIN,4
COUNTY DURHAM,1
COUNTY KERRY,2
COUNTY MEATH ,6
COVENTRY,1
CP,2
CQ,3
CR,4
CR42JA,1
CROATIA,1
"CROSSETT, AR",1
CROTON-ON-HUDSON,1
CS,13
CT,56865
CU,1
CUBA,1
CW,1
CWZVFLEK,1
CX,2
CXA,1
CY,10
CZ,3
CZE,1
CZECH REPUBLIC,5
CÁ,1
CÂ,1
D,24
D C,3
D.,24
D. C.,6
D.C,12
D.C .,2
D.F,6
D.F.,3
DA,2
DB,1
DBTEST,1
DC,29653
DD,11
DE,5366
DEFINITELY NOT QUEBEC,1
DEL.,1
DELHI,8
DERBYSHIRE,9
DERRY,3
DEVON,10
DEVON UK,1
"DEVON, UK",1
"DEVON, UNITED KINGDOM",1
DEVONSHIRE,1
DF,20
DFGDFG,1
DH,1
DIST. OF COLUMBIA,5
DK,14
DKI JAKARTA,1
DL,1
DO,2
DOUBS,1
DOWN,54
DOWNTOWN / LA METRO,1
DS,2
DSJKDS,1
DU,6
DUBAI,1
DUBLIN,270
"DUBLIN, IRELAND",2
DUBLíN,1
DURHAM,3
DV,1
E,1
E SUSSEX,2
EA,1
EAST DUNABARTONSHIRE,1
EAST LANSING,1
EAST LOTHIAN,2
EAST MIDLANDS,1
EAST SUSSEX,46
EAST SUSSEX (ENGLAND),1
EAST SUSSEX UK,1
"EAST SUSSEX, UK",3
EASTERN CAPE,1
EASTERN HIGHLANDS,1
EC,1
EDGE OF INSANITY,1
EDGEWATER,1
EDINBURGH,7
EG,2
EI,2
"ELEUTHERA, BAHAMAS",7
EN,14
ENGLAND,306
ENGLAND!,1
"ENGLAND, ",1
"ENGLAND, U.K.",1
ENGLND,2
ENLAND,1
ENTER YOUR STATE HERE,1
ER,1
ES,5
ESPAÒA,2
ESSEX,18
ESSEX UK,1
"ESSEX, ENGLAND",1
ESTADO,1
EU,2
EVANSTON,1
F,31
F:,2
F;,1
FA,5
FAIR LAWN,3
FAIRFAX,1
FAIRFAX COUNTY,1
"FAIRFAX, VA",1
FAIRFIELD,1
FC,1
FD,1
FE,4
FI,8
FIFE,11
FIJI ISLANDS,1
FINLAND,1
FK,2
FL,56880
"FL, 33418",1
"FL, 34120",1
FL32605,1
FLAGSTAFF,1
FLANDERS,2
"FLANDERS, BELGIUM",1
FLEVOLAND,1
FLF,1
FLINT,1
FLL,2
FLOIDA,1
FLROIDA,4
FM,1
FR,138
FRAMINGHAM,1
FREEHOLD,1
FROSINONE,1
FU,4
"FUKUI-KEN, JAPAN",1
G,15
G.,1
GA,32871
GA ,24
GA 31405,1
GA 31757,1
"GA, USA",1
GA.,342
GA. ,4
GA.30076,1
GA/,1
GARDEN GROVE,1
"GATINEAU, QUEBEC",1
GAUTENG,8
GAYSTATE,1
GB,6
GD,1
GE,74
GELDERLAND,1
GENEVA,7
GEOTGIA,8
GERGIA,1
GEROGIA,4
GGG,1
GH,3
GHANA,3
GIPUZKOA,3
GL,2
GLASGOW,6
"GLOS., UNITED KINGDOM",1
GLOUCESTERSHIRE,36
GLOUCESTERSHIRE UK,1
GM,2
GOERGIA,2
GOI·S,2
GR,3
GRANADA,1
GRAND LONDON,3
GRATER LONDON,1
GREATER LONDON,118
GREATERLONDON,1
GREECE,9
GRONINGEN,1
GROVES,1
GSA,1
GT,1
GU,35
GUAM,15
GUANGDONG,1
GUESS!,1
GUJARAT,5
GWENT,1
GY,2
H,5
HA,34
HAIFA,3
HAMPSHIRE,16
"HAMPSHIRE, UK.",2
HANOI,2
HANTS,11
HANTS.,2
HARYANA,6
"HAULIEN COUNTY, TAIWAN",1
HAUTE SAVOIE,1
HB,1
HE,6
HERAULT,1
HERTS,9
HERTS.,2
HESSE,1
HESSEN,1
HESSIA,1
HI,4740
HIGHLAND,9
"HINGHAM,MA",1
HJ,1
HK,7
HKSAR,2
HM,1
HN,11
HO,1
HOBOKEN,1
HOLLAND,13
HOLLYWOOD,1
HOME,1
HONG KONG,4
HONOMU,1
HOPELESS,5
HOUNSLOW,1
HP,1
HR,1
HS,2
HT,1
HU,2
HUMBERSIDE,1
HUMBOLDT-CA,1
HUNGARY,5
HY,5
HYOGO,1
"HYOGO, JAPAN",1
I,24
I'D,1
I'LL,1
I.L.,1
I.N,1
I:,1
IA,10859
IASI,2
IC,1
ICELAND,3
ID,5370
IE,2
IK,38
IL,100516
IL6,2
IL:,1
ILIINOIS,2
IL`,1
IN,19370
IN-MH,1
IND,3
INDONESIA,5
INIANA,1
INIDANA,2
INTO,1
IO,51
IOEA,1
IOW,1
IOW UK,1
IR,25
IRAN,2
IRAQ,2
IRELAND,355
IRELAND. (REP. OF ),1
IRELLAND,1
IRL,9
IS,32
ISLAND,1
ISLE OF MAN,4
ISLINGTON,1
ISRAEL,71
IT,42
IUL,1
IZ,2
J&,1
JA,4
JAKARTA,1
JAPAN,9
JDJAFFE@COMCAST.NET,1
JEDDAH,1
JEFFERSON,1
JF,1
JH,1
JIANSU,1
JN,3
JO,3
JP,7
JR,1
JS,1
JW,1
JYLLAND,2
K,4
K.Y,1
K1N 6B9,1
KANAS,2
KANEOHE,1
KARNATAKA,23
KE,21
KENT,92
KERRY,2
KH,1
KILDARE,3
KING,1
KJ,1
KK,5
KL,3
KN,2
KR,1
KS,10485
"KS, 67206",1
KUTCH,1
KW,1
KY,13292
L,3
L.,6
LA,8798
LA ,14
LA GRANGE,1
LA HABANA,1
LA JOLLA,1
LA RÈUNION,2
LA. 70117,2
LAFAYETTE,1
LAGOS,1
LAMBETH,1
LAZIO,1
LD,2
LE,1
LE128DT,1
LEBANON,1
LEE,1
LEICESTERSHIRE,4
LEINSTER,193
LI,3
LIAONING CHINA,1
LIINOIS,1
LIMA,10
"LIMA, PER?",1
LISBOA,2
LISBON,4
LITCHFIELD,1
LIVERPOOL,1
LJ,1
LL,6
LLEIDA,4
LLINOIS,1
LMI,2
LN,2
LO,17
LODON,1
LOIUISIANA,1
LONDON,604
LONDON NW8 6EL,1
LONDON UK,1
"LONDON, UK",12
LONDONB,1
LONON,1
LOS ANGELES,16
LOS FELIZ,1
LOTHIAN,8
LOTHIANS,1
LOUIS,1
LOUISANA,1
LOUSIANA,6
LOUSIANAN,1
LOUTH,17
LRKDYNTM,1
LS,9
LT,1
LU,7
LUISIANA,1
LUXEMBOURG,1
LW,1
LX,1
M,87
M ,3
M T,1
M!,1
M),4
M.A.,1
M.I.,1
M0,6
M3B1W7,1
M4,1
M4L 3S6,1
M5,1
M5L 2N8,1
M6K 2N6,2
M6K 3A2,1
M6S4B7,1
MA,122344
MA+,2
"MA, 02135",1
"MA, 02139",1
"MA, 02191",1
"MA, 02459",1
"MA, 02632",1
"MA,02465",1
MA/US,1
MA1,1
MAAINE,1
MAARYLAND,1
MACEDONIA,5
MAD,1
MADHYA PRADESH,3
MADISON,3
MAHARASHTRA,20
MAHE,4
MAHOMET,1
MAINW,1
MAN,2
MANILA,2
MANITOBA,560
MAO,1
MAQ,1
MAR,1
MARFYLAND,1
MARLYLAND,1
MARY,3
MARYAND,1
MARYLONG,1
MARYLSND,1
MARYLZND,1
MAS,4
MASAACHUSSETS,1
MATYLAND,8
MAULE,1
MAYAGUEZ,1
MAYO,9
MAYOTTE,1
MAZOWSZE,1
MA`,3
MB,230
MB.,44
MC,4
MCHIGAN,5
MD,62053
ME,17761
ME/USA,1
MEATH,3
MERSEYSIDE,26
MEXICO,16
MF,9
MG,3
MG - BRAZIL,9
MG/ BRASIL,1
MH,7
MI,39031
MI(,3
"MI, 490097",1
MI-,4
MI. ,2
MI>,1
MIAMI,1
MIC,7
MIDDLEEARTH,2
MIDDLESEX,37
"MIDDLESEX,",1
MIDDX,4
MIDI-PYRÈNÈES,1
MIDLANDS,1
MIDLOTHIAN,38
MIDWEST,1
MIE,1
MIHIGAN,1
MII,3
MII ,1
MILANO,1
MILWAUKEE,3
MINAS GERAIS,1
MINESOTA,3
MISS,2
MISS.,4
MISSLESEX,1
MI`,3
MJ,5
MJ 07009,14
MJNNESOTA,1
MM,7
MN,35204
MO,23259
MP,32
MQ,1
MR,4
MS,3685
MS ,4
"MS, 39571",1
MSMADISONM,1
MSSACHUSETTS,4
MT,5257
MU,2
MUNSTER,94
MW,1
MX,6
MX|DF,1
MY,27
MYANMAR(BURMA),2
MéXICO,1
N,101
N ,13
N  J,1
N / A,1
N C,16
N CAROLINA,1
N DAK,1
N H,1
N IRELAND,1
N S W,1
"N SOMERSET, UK",1
N&,1
"N,",1
"N,C.",1
"N,J",2
"N,J,",2
"N,Y",2
"N,Y.",3
N.,174
N. C.,6
N. C. ,1
N. CAROLINA,15
N. M.,50
N..J.,1
N.A,2
N.A.,2
N.B.,6
N.D.,1
N.KINGSTOWN,1
N.M,1
N.S.,5
N.S.W,2
N.S.W.,2
N/,2
N/A,103
N/C,1
N1,1
N225BG,1
N2H1R9,1
N:,1
N;J,1
N>,4
N>J>,6
N>Y>,6
NA,93
NAPOLI,1
NB,293
NC,43689
ND,926
ND 58501,1
NE,5595
NE ,3
NE  ,4
NE SOMERSET,1
NEEW HAMPSHIRE,1
NETHERLANDS,19
NEVAA,1
NEW,26
NEW ,2
NEW  MEXICO,1
NEW BRUNSWCIK,1
NEW BRUNSWSICK,1
NEW DELHI,2
NEW-MEXICO,1
NEWCASTLE,1
NEWCASTLE NSW,1
NEWCOMER?,1
NEWFOUNDLAND,137
NEWJERSY,3
NEWTON,5
NEWTON CENTRE,1
"NEWTOWN SQUARE, PA",1
NEWW MEXICO,1
NF,4
NFLJ,1
NG,1
NH,15353
NI,9
NICARAGUA,3
NJ,96593
NK,5
NL,214
NL/SH,1
NM,15593
NM ,29
NM 87501,1
NM 87505,1
NM8,1
NN,8
NO,65
NO REGION,1
NO!,1
NON-US RESIDENT,27
NONE,19
NONUS,1
NOO JOISEY,13
NOT APPLICABLE,3
NOT LISTED/NOT APPLICABLE,4
NOTH CAROLINA,3
NOTTINGHAM,2
NOTTINGHAMSHIRE,17
"NOTTINGHAMSHIRE, ENGLAND",1
NOTTS,5
NP,2
NR,3
NRW,2
NS,654
NSW,1255
NSW ,1
NSW 1350,1
NT,52
NTH IRELAND,1
NU,15
NUECES COUNTY,1
NUEVO LEON,8
NUNAVUT,16
NV,8743
NW,4
NW YROK,1
NX,3
NY,371549
NZ,27
N\,1
N÷,1
O,21
O ,1
O H I O,1
O54,1
O:HIO,1
OA,1
OAKLAND,2
OENNSYLVANIA,1
OF,2
OH,45012
OH!,1
OHM,1
OHO,1
OJ,1
OK,6314
OKLA,5
OM,3
ON,9806
ON ,9
ON  ,1
"ON,",1
ON.,34
ONIO,1
ONR.,1
ONT,107
ONT.,127
"ONT.,",3
ONTA,1
ONTAIO,2
ONTAREO,1
ONTARO,2
ONTAROI,1
ONTATIO,8
ONTRAIO,1
OO,3
OPPLAND,1
OR,58681
OS,3
OSAKA,1
OSAKA-SHI,1
OSLO,2
OT,2
OTAGO,1
OTHER,14
OTHER STATE,1
OTTAWA,3
OU,2
OV,1
OWA,2
OX,3
OXON,16
OXON UK,1
OXON.,4
OY,1
OZ,1
O÷,1
P,25
P),1
P.,2
P.A,2
P.E.I.,4
P.R.,10
PA,90889
PAA,1
PAF,1
PAKISTAN,6
PAKISTAN ,1
PAM,1
PANAMA,4
PANIC,1
PARAGUAY,4
PARAN·,1
PARANá,1
PAR·,1
PATHUMTHANI THAILAND,1
PA`,3
PB,10
PE      ,1
PEI,4
PERTHSHIRE,1
PERU,1
PH,11
PHILADELPHIA,5
"PHILADELPHIA, PA",1
PHILIPPINES,1
PITTSBURGH,1
PIURA,1
PL,5
PLAINFIELD,1
PLEASE CHOOSE ...,1
PO,2
POBOX 608,1
POHNPEI FM,2
"POHNPEI, MICRONESIA",1
POLAND,9
POTOMAC,1
PP,1
PQ,6
PR,202
PR ,1
"PR, BRAZIL",1
PRC,1
PS,8
PT,3
PU,5
PUEBLA,4
PW,1
Q,25
QATAR,5
QC,252
QC. ,1
QD,2
QE,1
QL,49
QLD,105
QR,2
QU,14
QUE,3
QUEBEC,230
QUEBEC ,1
QUEENLAND,1
QUEENS,10
QUEENSLAND,299
QUÈBEC,22
QUéBEC,26
R,5
R ,3
R I,11
R I ,2
R!,1
R.,8
R. I.,1
R.L.,1
R5,1
RA,4
RAJASTHAN,2
RAVENNA,1
REDDING,1
RENFREWSHIRE,3
REP IRELAND,1
REP OF IRELAND,1
REPUBLIC OF IRELAND,3
REPUBLIC OF MACEDONIA,1
REQ,20
RESTON,2
REW HAMPSHIRE,1
RF,4
RH,7
RI,38267
RJ,15
RJ - BRAZIL,1
"RJ, BRAZIL",1
RKASYOUJ,1
RL,1
RM,11
RO,6
ROMANIA,4
"ROMANIA, EUROPE",1
ROME,2
ROSS-SHIRE,1
ROTTERDAM,1
ROXBURY,1
RP,1
RR,1
RS,6
RU,3
RUSSIA,6
RX,1
S,5
S ,1
S  C ,1
S GLAM,6
"S,",1
S.,28
S. C.,7
S. C. ,1
SA,94
SACRAMENTO,1
SAINT PAUL,2
SAN DIEGO,1
SAN LUIS POTOSí,3
SAN RAFAEL,1
SANTA BARBARA,2
SANTARÉM,1
SAO PAULO,4
SASK,3
SASK.,1
SASKATCHEWAN,440
SASKATCHEWAN ,5
SASKTACHEWAN,1
SAUDI ARABIA,3
SC,18155
SD,1713
SE,8
SEARCH...,22
SEATTLE,2
SEATTLE WA,1
SEBASTOPOL,1
SENDS HIS,1
SEOUL,1
SERBIA,2
SF,4
SG,2
SH,6
SHANDONG,1
"SHANDONG, CHINA",1
SHANGHAI,2
"SHANGHAI, CN",1
SHELTON,2
"SHIZUOKA, JAPAN",1
SHROPSHIRE,3
SI,16
SICHUAN,2
SINDH,1
SK,389
SK.,1
SKOKIE,7
SKOKIE  IL,1
SL,4
SLOVENIA,2
SLP,1
SM,1
SO,7
SOMERSET,11
"SOMERSET, UK",1
SOUTH COARLOINA,1
SOUTHEAST,1
SOUTHERN FINLAND,1
SP,54
SP ,1
"SP, BRAZIL",1
SPAIN,38
SPB,1
SPOKANE,1
SR,1
SS,1
ST,4
ST.ELIZABETH,1
STAFFS,3
STATE,28
STATE OF QATAR,1
STATEN ISLAND,28
STIRLINGSHIRE,3
STOCKHOLM,1
STRATHCLYDE,1
SU,4
SUAGZRQW,1
SUFFOLK,8
SURREY,83
SURREY UK,19
SURREY. ENGLAND U.K.,24
SURREY/UK,2
SUSSEX,5
SW,12
SW7 3NS,3
SWEDEN,21
SX,1
SY,1
S„O PAULO,1
SãO PAULO,2
T,13
T.,1
TA,5
TAIWAN,21
TAIWAN ROC,1
"TAIWAN, R.O.C.",2
TANZANIA,2
"TAOS, NM",1
TAS,4
TASMANIA,66
TAX,38
TAXAS,1
TB,2
TC,2
TD,1
TE,195
TEAS,1
TEAXS,1
TEHRAN,3
TEHRAN/IRAN,2
TELANGANA,1
TEST,4
TFHNSLKZ,1
TH,9
THAILAND,2
THE BRONX,1
THE NETHERLANDS,27
THOUSAND OAKS,1
TIB,1
TICINO,1
TIPPERARY,6
TITAN437@FRONTIERNET.NET,1
TK,1
TM,1
TN,19806
TO,2
TOLEDO,1
TONAWANDA,1
"TOYAMA, JAPAN",1
TR,6
TROY,1
TRUE,1
TS,2
TT,1
TU,1
TUCSON,2
TUNIS,1
TUNISIA,1
TURKEY,10
TURKEY ,1
TV,1
TW,8
TX,54048
TY,2
TYNE & WEAR,5
TYNE AND WEAR,4
TZ,2
U,3
U A E,2
U.K,1
U.K.,2
U.S,2
U.S.,1
U.T.,1
UA,4
UAE,4
UE,2
UG,1
UK,737
UK ,3
UKRAINE,1
UM,3
UN,2
UNITE KINDOM,1
UNITED ARAB EMIRATES,2
UNITED KIGDOM,6
UNITED KINGDOM,140
UNITED KINGDON,5
UNITED STATES,418
UNKNOWN,1
UP,3
UPLAND,1
URUGUAY,1
US,15
US EMBASSY SEOUL,1
US-CA,3
US-IN,3
US-MA,1
US-VA,2
US36,1
USA,23
USA-GA,1
USA:WA,1
USA_IN,1
USVI,1
US_CA,1
UT,8775
UTAN,1
UTRECHT,3
UY,1
UZ,1
UZBEKISTAN,1
V,21
V A,1
V T,1
V.,1
V5,1
V5L1Z8,1
V6K 1B2,2
V8S 3T4,1
VA,63118
VA-,1
VA22046,1
VA23229,1
VA;UNITED STATES;0,1
VAGINA AVENUE,1
VAR,2
VARNA,1
VB,3
VC,10
VE,55
VENEZIA,2
VERACRUZ,1
VERMANT,1
VERONT,1
VG,1
VI,186
VIA,5
VIC,214
VIENNA,5
VIET NAM,5
VIGINIA,2
VINEYARD HAVEN,1
VIRFGINIA,1
VN,2
VQ,1
VS,1
VT,16337
VV,2
VW,1
VY,5
V|T,1
W,45
W!,1
W.,2
W.A,1
W.A.,3
W.B.,1
W/CAPE,1
WA,62815
WAIHEKE,2
WAS,1
WASH,10
WASH.,90
WASHGINTON,5
WASHIGNTON,2
WASHIGTON,2
WASHINTON,9
WAYNE,1
WA`,4
WB,6
WC,4
WE,9
WEFWEF,1
WELLINGTON,1
"WELLINGTON, NZ",1
WEST LOTHIAN,3
WEST MIDLANDS,31
"WEST MIDS, UK",1
"WEST MIDS, UK ",1
WEST NEWBURY,1
WEST SUSSEX,68
"WEST SUSSEX, UK",2
WEST VURGINIA,1
WESTER ISLES,2
WESTERN CAPE,5
WESTFIELD,1
WESTMEATH,1
"WESTMEATH, IRELAND",2
WESTMINSTER,1
WHEFIJ,1
WHITE OAK,1
WI,27017
WM,2
WN.,1
WO,2
WP,2
WQ,1
WR,1
WS,6
WS.,1
WT,2
WU,1
WV,3694
WY,1667
X,2
XA,1
"XIENGKHOUANG, LAO PDR",1
XX,20
XXXXXX,1
Y,7
Y ,1
YA,2
YE,2
YEXAS,2
YN,2
YO,4
YPSILANTI,2
YT,7
YU,2
YUKON,5
YUNNAN,1
YVELINES,1
YX,6
ZA,5
ZAMBIA,1
ZH,4
ZI,1
ZIMBABAWE,1
ZIZZIZZIPPI,1
ZN,1
ZUID-HOLLAND,3
ZULIA,1
ZZ,6
\,6
\MA,1
\T,1
_NULL,2
`C,1
`N,1
{A,2
«T,1
ØSTFOLD,1
